,j_d,g_d,h_d,events,event,calender_type
1392,"(1401, 11, 12)",2023-02-01,"(1444, 7, 10)",بازگشت امام خمینی (ره) به ایران,بازگشت امام خمینی (ره) به ایران,j
1393,"(1401, 11, 12)",2023-02-01,"(1444, 7, 10)",ولادت امام محمد تقی علیه السلام [١٠ رجب],ولادت امام محمد تقی علیه السلام,h
1394,"(1401, 11, 15)",2023-02-04,"(1444, 7, 13)",جشن میانه زمستان,جشن میانه زمستان,j
1395,"(1401, 11, 15)",2023-02-04,"(1444, 7, 13)",ولادت امام علی علیه السلام و روز پدر [١٣ رجب],ولادت امام علی علیه السلام و روز پدر,h
1396,"(1401, 11, 17)",2023-02-06,"(1444, 7, 15)",وفات حضرت زینب سلام الله علیها [١٥ رجب],وفات حضرت زینب سلام الله علیها,h
1397,"(1401, 11, 19)",2023-02-08,"(1444, 7, 17)",روز نیروی هوایی,روز نیروی هوایی,j
1398,"(1401, 11, 22)",2023-02-11,"(1444, 7, 20)",پیروزی انقلاب اسلامی,پیروزی انقلاب اسلامی,j
1399,"(1401, 11, 22)",2023-02-11,"(1444, 7, 20)",حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران [۱۱ february],حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران,g
1400,"(1401, 11, 23)",2023-02-12,"(1444, 7, 21)",زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی [۱۲ february],زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی,g
1401,"(1401, 11, 25)",2023-02-14,"(1444, 7, 23)",روز ولنتاین [۱۴ february],روز ولنتاین,g
1402,"(1401, 11, 27)",2023-02-16,"(1444, 7, 25)",شهادت امام موسی کاظم علیه السلام [٢٥ رجب],شهادت امام موسی کاظم علیه السلام,h
1403,"(1401, 11, 29)",2023-02-18,"(1444, 7, 27)",جشن سپندارمذگان و روز عشق,جشن سپندارمذگان و روز عشق,j
1404,"(1401, 11, 29)",2023-02-18,"(1444, 7, 27)",مبعث رسول اکرم [٢٧ رجب],مبعث رسول اکرم,h
1405,"(1401, 10, 1)",2022-12-22,"(1444, 5, 28)",روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,j
1406,"(1401, 10, 4)",2022-12-25,"(1444, 6, 1)",جشن کریسمس [۲۵ december],جشن کریسمس,g
1407,"(1401, 10, 5)",2022-12-26,"(1444, 6, 2)",سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,j
1408,"(1401, 10, 5)",2022-12-26,"(1444, 6, 2)",سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,j
1409,"(1401, 10, 6)",2022-12-27,"(1444, 6, 3)",شهادت حضرت فاطمه زهرا سلام الله علیها [٣ جمادی الثانیه],شهادت حضرت فاطمه زهرا سلام الله علیها,h
1410,"(1401, 10, 8)",2022-12-29,"(1444, 6, 5)",به روز، دومین جشن دیگان,به روز، دومین جشن دیگان,j
1411,"(1401, 10, 11)",2023-01-01,"(1444, 6, 8)",جشن آغاز سال نو میلادی [۱ january],جشن آغاز سال نو میلادی,g
1412,"(1401, 10, 13)",2023-01-03,"(1444, 6, 10)",شهادت سردار حاج قاسم سلیمانی,شهادت سردار حاج قاسم سلیمانی,j
1413,"(1401, 10, 15)",2023-01-05,"(1444, 6, 12)",به روز، سومین جشن دیگان,به روز، سومین جشن دیگان,j
1414,"(1401, 10, 20)",2023-01-10,"(1444, 6, 17)",قتل امیرکبیر به دستور ناصرالدین شاه قاجار,قتل امیرکبیر به دستور ناصرالدین شاه قاجار,j
1415,"(1401, 10, 23)",2023-01-13,"(1444, 6, 20)",به دین روز، چهارمین جشن دیگان,به دین روز، چهارمین جشن دیگان,j
1416,"(1401, 10, 23)",2023-01-13,"(1444, 6, 20)",ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر [٢٠ جمادی الثانیه],ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر,h
1417,"(1401, 9, 1)",2022-11-22,"(1444, 4, 28)",جشن,جشن,j
1418,"(1401, 9, 4)",2022-11-25,"(1444, 5, 1)",روز جهانی مبارزه با خشونت علیه زنان [۲۵ november],روز جهانی مبارزه با خشونت علیه زنان,g
1419,"(1401, 9, 5)",2022-11-26,"(1444, 5, 2)",روز بسیج مستضعفان,روز بسیج مستضعفان,j
1420,"(1401, 9, 7)",2022-11-28,"(1444, 5, 4)",روز نیروی دریایی,روز نیروی دریایی,j
1421,"(1401, 9, 8)",2022-11-29,"(1444, 5, 5)",ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز [٥ جمادی الاولی],ولادت حضرت زینب سلام الله علیها و روز پرستار و بهورز,h
1422,"(1401, 9, 9)",2022-11-30,"(1444, 5, 6)",جشن آذرگان، روز,جشن آذرگان، روز,j
1423,"(1401, 9, 10)",2022-12-01,"(1444, 5, 7)",روز مجلس,روز مجلس,j
1424,"(1401, 9, 10)",2022-12-01,"(1444, 5, 7)",روز جهانی ایدز [۱ december],روز جهانی ایدز,g
1425,"(1401, 9, 12)",2022-12-03,"(1444, 5, 9)",روز جهانی معلولان [۳ december],روز جهانی معلولان,g
1426,"(1401, 9, 13)",2022-12-04,"(1444, 5, 10)",روز بیمه,روز بیمه,j
1427,"(1401, 9, 15)",2022-12-06,"(1444, 5, 12)",روز حسابدار,روز حسابدار,j
1428,"(1401, 9, 16)",2022-12-07,"(1444, 5, 13)",روز دانشجو,روز دانشجو,j
1429,"(1401, 9, 20)",2022-12-11,"(1444, 5, 17)",روز جهانی کوه نوردی [۱۱ december],روز جهانی کوه نوردی,g
1430,"(1401, 9, 25)",2022-12-16,"(1444, 5, 22)",روز پژوهش,روز پژوهش,j
1431,"(1401, 9, 26)",2022-12-17,"(1444, 5, 23)",روز حمل و نقل,روز حمل و نقل,j
1432,"(1401, 9, 30)",2022-12-21,"(1444, 5, 27)",جشن شب یلدا,جشن شب یلدا,j
1433,"(1401, 7, 1)",2022-09-23,"(1444, 2, 27)",آغاز حمله مغول به ایران در پاییز ۵۹۸ خورشیدی,آغاز حمله مغول به ایران در پاییز ۵۹۸ خورشیدی,j
1434,"(1401, 7, 2)",2022-09-24,"(1444, 2, 28)",رحلت رسول اکرم؛ شهادت امام حسن مجتبی علیه السلام [٢٨ صفر],رحلت رسول اکرم؛ شهادت امام حسن مجتبی علیه السلام,h
1435,"(1401, 7, 4)",2022-09-26,"(1444, 2, 30)",شهادت امام رضا علیه السلام [٣٠ صفر],شهادت امام رضا علیه السلام,h
1436,"(1401, 7, 5)",2022-09-27,"(1444, 3, 1)",روز جهانی جهانگردی [۲۷ september],روز جهانی جهانگردی,g
1437,"(1401, 7, 5)",2022-09-27,"(1444, 3, 1)",هجرت پیامبر اکرم از مکه به مدینه [١ ربیع الاول],هجرت پیامبر اکرم از مکه به مدینه,h
1438,"(1401, 7, 7)",2022-09-29,"(1444, 3, 3)",روز آتش نشانی و ایمنی,روز آتش نشانی و ایمنی,j
1439,"(1401, 7, 7)",2022-09-29,"(1444, 3, 3)",سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال ۱۳۶۰,سقوط هواپیمای حامل جمعی از فرماندهان جنگ (کلاهدوز، نامجو، فلاحی، فکوری، جهان آرا) در سال ۱۳۶۰,j
1440,"(1401, 7, 8)",2022-09-30,"(1444, 3, 4)",روزبزرگداشت مولوی,روزبزرگداشت مولوی,j
1441,"(1401, 7, 8)",2022-09-30,"(1444, 3, 4)",روز جهانی ناشنوایان [۳۰ september],روز جهانی ناشنوایان,g
1442,"(1401, 7, 8)",2022-09-30,"(1444, 3, 4)",روز جهانی ترجمه و مترجم [۳۰ september],روز جهانی ترجمه و مترجم,g
1443,"(1401, 7, 9)",2022-10-01,"(1444, 3, 5)",روز جهانی سالمندان [۱ october],روز جهانی سالمندان,g
1444,"(1401, 7, 10)",2022-10-02,"(1444, 3, 6)",روز، جشن مهرگان,روز، جشن مهرگان,j
1445,"(1401, 7, 12)",2022-10-04,"(1444, 3, 8)",شهادت امام حسن عسکری علیه السلام [٨ ربیع الاول],شهادت امام حسن عسکری علیه السلام,h
1446,"(1401, 7, 13)",2022-10-05,"(1444, 3, 9)",روز نیروی انتظامی,روز نیروی انتظامی,j
1447,"(1401, 7, 13)",2022-10-05,"(1444, 3, 9)",روز جهانی معلم [۵ october],روز جهانی معلم,g
1448,"(1401, 7, 14)",2022-10-06,"(1444, 3, 10)",روز دامپزشکی,روز دامپزشکی,j
1449,"(1401, 7, 16)",2022-10-08,"(1444, 3, 12)",روز ملی کودک,روز ملی کودک,j
1450,"(1401, 7, 16)",2022-10-08,"(1444, 3, 12)",میلاد رسول اکرم به روایت اهل سنت [١٢ ربیع الاول],میلاد رسول اکرم به روایت اهل سنت,h
1451,"(1401, 7, 17)",2022-10-09,"(1444, 3, 13)",روز جهانی پست [۹ october],روز جهانی پست,g
1452,"(1401, 7, 18)",2022-10-10,"(1444, 3, 14)",روز جهانی مبارزه با حکم اعدام [۱۰ october],روز جهانی مبارزه با حکم اعدام,g
1453,"(1401, 7, 19)",2022-10-11,"(1444, 3, 15)",روز جهانی دختر [۱۱ october],روز جهانی دختر,g
1454,"(1401, 7, 20)",2022-10-12,"(1444, 3, 16)",روز بزرگداشت حافظ,روز بزرگداشت حافظ,j
1455,"(1401, 7, 21)",2022-10-13,"(1444, 3, 17)",جشن پیروزی کاوه و فریدون,جشن پیروزی کاوه و فریدون,j
1456,"(1401, 7, 21)",2022-10-13,"(1444, 3, 17)",میلاد رسول اکرم و امام جعفر صادق علیه السلام [١٧ ربیع الاول],میلاد رسول اکرم و امام جعفر صادق علیه السلام,h
1457,"(1401, 7, 22)",2022-10-14,"(1444, 3, 18)",روز جهانی استاندارد [۱۴ october],روز جهانی استاندارد,g
1458,"(1401, 7, 23)",2022-10-15,"(1444, 3, 19)",روز جهانی عصای سفید [۱۵ october],روز جهانی عصای سفید,g
1459,"(1401, 7, 24)",2022-10-16,"(1444, 3, 20)",روز جهانی غذا [۱۶ october],روز جهانی غذا,g
1460,"(1401, 7, 25)",2022-10-17,"(1444, 3, 21)",روز جهانی ریشه کنی فقر [۱۷ october],روز جهانی ریشه کنی فقر,g
1461,"(1401, 7, 26)",2022-10-18,"(1444, 3, 22)",روز تربیت بدنی و ورزش,روز تربیت بدنی و ورزش,j
1462,"(1401, 7, 29)",2022-10-21,"(1444, 3, 25)",روز ملی کوهنورد,روز ملی کوهنورد,j
1463,"(1401, 12, 2)",2023-02-21,"(1444, 8, 1)",روز جهانی زبان مادری [۲۱ february],روز جهانی زبان مادری,g
1464,"(1401, 12, 4)",2023-02-23,"(1444, 8, 3)",ولادت سالار شهیدان، امام حسین علیه السلام و روز پاسدار [٣ شعبان],ولادت سالار شهیدان، امام حسین علیه السلام و روز پاسدار,h
1465,"(1401, 12, 5)",2023-02-24,"(1444, 8, 4)",روز بزرگداشت زمین و بانوان,روز بزرگداشت زمین و بانوان,j
1466,"(1401, 12, 5)",2023-02-24,"(1444, 8, 4)",روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,j
1467,"(1401, 12, 5)",2023-02-24,"(1444, 8, 4)",ولادت ابوالفضل العباس علیه السلام و روز جانباز [٤ شعبان],ولادت ابوالفضل العباس علیه السلام و روز جانباز,h
1468,"(1401, 12, 6)",2023-02-25,"(1444, 8, 5)",ولادت امام زین العابدین علیه السلام [٥ شعبان],ولادت امام زین العابدین علیه السلام,h
1469,"(1401, 12, 7)",2023-02-26,"(1444, 8, 6)",سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,j
1470,"(1401, 12, 7)",2023-02-26,"(1444, 8, 6)",سالروز درگذشت علی اکبر دهخدا,سالروز درگذشت علی اکبر دهخدا,j
1471,"(1401, 12, 12)",2023-03-03,"(1444, 8, 11)",ولادت علی اکبر علیه السلام و روز جوان [١١ شعبان],ولادت علی اکبر علیه السلام و روز جوان,h
1472,"(1401, 12, 15)",2023-03-06,"(1444, 8, 14)",روز درختکاری,روز درختکاری,j
1473,"(1401, 12, 16)",2023-03-07,"(1444, 8, 15)",ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [١٥ شعبان],ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,h
1474,"(1401, 12, 17)",2023-03-08,"(1444, 8, 16)",روزجهانی زنان [۸ march],روزجهانی زنان,g
1475,"(1401, 12, 25)",2023-03-16,"(1444, 8, 24)",پایان سرایش شاهنامه,پایان سرایش شاهنامه,j
1476,"(1401, 12, 29)",2023-03-20,"(1444, 8, 28)",روز ملی شدن صنعت نفت ایران,روز ملی شدن صنعت نفت ایران,j
1477,"(1401, 12, 29)",2023-03-20,"(1444, 8, 28)",روز جهانی شادی [۲۰ march],روز جهانی شادی,g
1478,"(1401, 5, 6)",2022-07-28,"(1443, 12, 29)",امرداد روز ترویج آموزش‌های فنی و حرفه‌ای,امرداد روز ترویج آموزش‌های فنی و حرفه‌ای,j
1479,"(1401, 5, 7)",2022-07-29,"(1443, 12, 30)",امرداد روز، جشن مردادگان,امرداد روز، جشن مردادگان,j
1480,"(1401, 5, 8)",2022-07-30,"(1444, 1, 1)",امرداد روز بزرگداشت شیخ شهاب الدین سهروردی,امرداد روز بزرگداشت شیخ شهاب الدین سهروردی,j
1481,"(1401, 5, 10)",2022-08-01,"(1444, 1, 3)",امرداد جشن چله تابستان,امرداد جشن چله تابستان,j
1482,"(1401, 5, 10)",2022-08-01,"(1444, 1, 3)",امرداد آغاز هفته جهانی شیردهی [۱ august],امرداد آغاز هفته جهانی شیردهی,g
1483,"(1401, 5, 14)",2022-08-05,"(1444, 1, 7)",امرداد صدور فرمان مشروطیت,امرداد صدور فرمان مشروطیت,j
1484,"(1401, 5, 16)",2022-08-07,"(1444, 1, 9)",امرداد تاسوعای حسینی [٩ محرم],امرداد تاسوعای حسینی,h
1485,"(1401, 5, 17)",2022-08-08,"(1444, 1, 10)",امرداد روز خبرنگار,امرداد روز خبرنگار,j
1486,"(1401, 5, 17)",2022-08-08,"(1444, 1, 10)",امرداد عاشورای حسینی [١٠ محرم],امرداد عاشورای حسینی,h
1487,"(1401, 5, 19)",2022-08-10,"(1444, 1, 12)",امرداد شهادت امام زین العابدین علیه السلام [١٢ محرم],امرداد شهادت امام زین العابدین علیه السلام,h
1488,"(1401, 5, 22)",2022-08-13,"(1444, 1, 15)",امرداد روز جهانی چپ دست‌ها [۱۳ august],امرداد روز جهانی چپ دست‌ها,g
1489,"(1401, 5, 26)",2022-08-17,"(1444, 1, 19)",امرداد سالروز ورود آزادگان سرافراز به وطن,امرداد سالروز ورود آزادگان سرافراز به وطن,j
1490,"(1401, 5, 28)",2022-08-19,"(1444, 1, 21)",امرداد سالروز وقایع ۲۸ و برکناری دکتر محمد مصدق,امرداد سالروز وقایع ۲۸ و برکناری دکتر محمد مصدق,j
1491,"(1401, 5, 28)",2022-08-19,"(1444, 1, 21)",امرداد سالروز فاجعه آتش زدن سینما رکس آبادان,امرداد سالروز فاجعه آتش زدن سینما رکس آبادان,j
1492,"(1401, 5, 28)",2022-08-19,"(1444, 1, 21)",امرداد روز جهانی عکاسی [۱۹ august],امرداد روز جهانی عکاسی,g
1493,"(1401, 4, 1)",2022-06-22,"(1443, 11, 23)",جشن آب پاشونک، جشن آغاز تابستان,جشن آب پاشونک، جشن آغاز تابستان,j
1494,"(1401, 4, 1)",2022-06-22,"(1443, 11, 23)",روز اصناف,روز اصناف,j
1495,"(1401, 4, 5)",2022-06-26,"(1443, 11, 27)",روز جهانی مبارزه با مواد مخدر [۲۶ june],روز جهانی مبارزه با مواد مخدر,g
1496,"(1401, 4, 7)",2022-06-28,"(1443, 11, 29)",انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و ۷۲ نفر از اعضای حزب؛ روز قوه قضاییه,انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و ۷۲ نفر از اعضای حزب؛ روز قوه قضاییه,j
1497,"(1401, 4, 8)",2022-06-29,"(1443, 11, 30)",روز مبارزه با سلاح‌های شیمیایی و میکروبی,روز مبارزه با سلاح‌های شیمیایی و میکروبی,j
1498,"(1401, 4, 8)",2022-06-29,"(1443, 11, 30)",شهادت امام محمد تقی علیه السلام [٣٠ ذوالقعده],شهادت امام محمد تقی علیه السلام,h
